95946,"<p>An alternative to the code from @Cody: </p>

<p>Using the modulus operator:</p>

<pre><code>bool isEven = (a % 2) == 0;
</code></pre>

<p>I think this is marginally better code than writing if/else, because there is less duplication &amp; unused flexibility.  It does require a bit more brain power to examine, but the good naming of <code>isEven</code> compensates.</p>
"
104943,"<p>Because it would break existing (pre-Java5) code. e.g.,</p>

<pre><code>Set stringSet = new HashSet();
// do some stuff...
Object o = ""foobar"";
stringSet.remove(o);
</code></pre>

<p>Now you might say the above code is wrong, but suppose that o came from a heterogeneous set of objects (i.e., it contained strings, number, objects, etc.). You want to remove all the matches, which was legal because remove would just ignore the non-strings because they were non-equal. But if you make it remove(String o), that no longer works. </p>
"
21845,"<p>Perhaps a code example would help, I'm going to use C#, but you should be able to follow along.</p>

<p>Lets pretend we have an interface called IPayable</p>

<pre><code>public interface IPayable
{
    public Pay(double amount);
}
</code></pre>

<p>Now, we have two concrete classes that implement this interface:</p>

<pre><code>public class BusinessAccount : IPayable
{
    public void Pay(double amount)
    {
    	//Logic
    }
}

public class CustomerAccount : IPayable
{
    public void Pay(double amount)
    {
    	//Logic
    }
}
</code></pre>

<p>Now, lets pretend we have a collection of various accounts, to do this we will use a generic list of the type IPayable</p>

<pre><code>List&lt;IPayable&gt; accountsToPay = new List&lt;IPayable&gt;();
accountsToPay.add(new CustomerAccount());
accountsToPay.add(new BusinessAccount());
</code></pre>

<p>Now, we want to pay $50.00 to all those accounts:</p>

<pre><code>foreach (IPayable account in accountsToPay)
{
    account.Pay(50.00);
}
</code></pre>

<p>So now you see how interfaces are incredibly useful. </p>

<p>They are used on instantiated objects only. Not on static classes. </p>

<p>If you had made pay static, when looping through the IPayable's in accountsToPay there would be no way to figure out if it should call pay on BusinessAcount or CustomerAccount.</p>
"
21858,"<p>I would just go by</p>

<pre><code>throw new exception(""WhatCausedIt"")
</code></pre>

<p>if you want to handle your exceptions, you could pass a code instead of ""WhatCausedIt"" an then react to the different answers with a switch statement. </p>
"
31606,"<p>I agree with @Bernard that method chaining like this muddles the purpose of the setters. Instead I would suggest that if you are always creating chains of setters like this that you create a custom Constructor for your class so instead of</p>

<pre><code>    MyClass
    .setInt(1)
    .setString(""test"")
    .setBoolean(true)
  ;
</code></pre>

<p>You do</p>

<pre><code>new MyClass(1,""test"",true);
</code></pre>

<p>This makes it more readable and you can use this to make your class immutable if you chose to.</p>
"
156721,"<p>Are you concerned primarily with getting a clean report from FindBugs or with having code that works? These are not necessarily the same thing. Your original code is fine (although I would get rid of the redundant <code>if (fis != null)</code> check since an <code>OutOfMemoryException</code> would have been thrown otherwise). FileInputStream has a finalizer method which will close the stream for you in the unlikely event that you actually receive an IOException in your processing. It's simply not worth the bother of making your code more sophisticated to avoid the extremely unlikely scenario of</p>

<ol>
<li>you get an IOException and </li>
<li>this happens so often that you start to run into finalizer backlog issues.</li>
</ol>

<p><strong>Edit:</strong> if you are getting so many IOExceptions that you are running into problems with the finalizer queue then you have far far bigger fish to fry! This is about getting a sense of perspective.</p>
"
74905,"<p>Sometimes a simple ""<strong><code>static Foo foo = new Foo();</code></strong>"" is not enough. Just think of some basic data insertion you want to do.</p>

<p>On the other hand you would have to synchronize any method that instantiates the singleton variable as such. Synchronisation is not bad as such, but it can lead to performance issues or locking (in very very rare situations using this example. The solution is</p>

<pre><code>public class Singleton {

    private static Singleton instance = null;

    static {
          instance = new Singleton();
          // do some of your instantiation stuff here
    }

    private Singleton() {
          if(instance!=null) {
                  throw new ErrorYouWant(""Singleton double-instantiation, should never happen!"");
          }
    }

    public static getSingleton() {
          return instance;
    }

}
</code></pre>

<p>Now what happens? The class is loaded via the class loader. Directly after the class was interpreted from a byte Array, the VM executes the <strong>static { }</strong> - block. that's the whole secret: The static-block is only called once, the time the given class (name) of the given package is loaded by this one class loader.</p>
"
76998,"<p>This will get rid of your concurrent modification exception. I won't speak to the efficiency however ;)</p>

<pre><code>List&lt;Blah&gt; list = fillMyList();
List&lt;Blah&gt; temp = new ArrayList&lt;Blah&gt;();
for (Blah blah : list) {
     //list.remove(blah);  would throw the exception
     temp.add(blah);
}
list.removeAll(temp);
</code></pre>
"
169805,"<p>Try <code>mainPanel.invalidate()</code> and then if necessary, <code>mainPanel.validate()</code>.  It also might be worth checking that you're doing this all in the event dispatch thread, otherwise your results will be spotty and (generally) non-deterministic.</p>
"
201429,"<pre><code>jRadioOne = new javax.swing.JRadioButton();
jRadioTwo = new javax.swing.JRadioButton();
jRadioThree = new javax.swing.JRadioButton();
</code></pre>

<p>... then for every button:</p>

<pre><code>buttonGroup1.add(jRadioOne);
jRadioOne.setText(""One"");
jRadioOne.setActionCommand(ONE);
jRadioOne.addActionListener(radioButtonActionListener);
</code></pre>

<p>...listener</p>

<pre><code>ActionListener radioButtonActionListener = new java.awt.event.ActionListener() {
            public void actionPerformed(java.awt.event.ActionEvent evt) {
                radioButtonActionPerformed(evt);
            }
        };
</code></pre>

<p>...do whatever you need as response to event</p>

<pre><code>protected void radioButtonActionPerformed(ActionEvent evt) {            
       System.out.println(evt.getActionCommand());
    }
</code></pre>
"
