151940","45906","0","In onRestoreInstanceState, I think you mean for the first line to be super.onRestoreInstanceState rather than super.onSaveInstanceState"
"456941","1231952","20","This is the android.text.format.DateFormat rather than java.text.DateFormat."
"151940","1643029","9","Any chance this works on the phone, but not in the emulator? I cannot seem to get a non-null savedInstanceState."
"2091482","2024535","0","ok if i pass session id to signout acitivity on successful login and  will it work on any activity page to signout or manually i will have to assign it value on each activity??? using above procedure??"
"2091482","2027425","2","Yes, you'd have to make the session ID available to every activity where you want to allow the user to signout.  Alternatively, you could store it in the Application object, but then you'd have to manage the state of the session (check if it's valid before using, etc)."
"2131051","2070403","3","Thanks fixXedd. It worked perfectly."
"2131051","2076525","2","No problem. Happy to help."
"2591311","2599085","3","Great answer. You don't have to do both though, removing the notification bar may be overkill."
"2591311","2606661","41","Thanks but that is not in XML..."
"2644266","2659412","3","I think you may have misread the Question? Janusz already has the custom dialog displaying and just requires information on removing the title"
"2644266","2659476","12","Well, according to the official documentation, ""A dialog made with the base Dialog class must have a title. If you don't call setTitle(), then the space used for the title remains empty, but still visible. If you don't want a title at all, then you should create your custom dialog using the AlertDialog class."" I haven't personally experimented with it, but that would suggest that even using a custom dialog layout or themes, it's impossible to remove the title space."
"2644266","2659530","0","2nd thought: I think we're understanding ""title"" differently. I assume he's talking about the space at the top of the pop-up window, not the title at the top of the app."
"2644266","2659564","0","Not sure, I have an activity in my application with a dialog theme so it appears like a dialog and the code in my answer removes the space at the top of the pop up. I believe I done the same successfully for a custom dialog as in the question but I dont have the code at the min so cant be sure and may not be correct."
"2644266","2660451","0","Ok good try but it is not working. I get: android.view.WindowManager$BadTokenException: Unable to add window -- token null is not for an application 

if I want to shwo the dialog."
"2644266","2660477","0","Edit your question and show us the code you used. The above principle works, I've done it myself, so you must have done something wrong in your implementation. Also, did you read the developer's website instructions or did you just copy/paste?"
"2644266","2662143","0","I have added more info to my answer regarding your new issue, report back if that helps or not"
"2644266","2758240","0","Still now working. The problem is that in the custom dialog page you linked is a title shown that is not created through their xml file. It seems that every dialog needs this title..."
"2644266","2759028","0","@Janusz: Edited my answer."
"2644266","2763902","0","Thanks for the work and trying all that. view.findViewById is working and the dialog has no title."
"823966","2982105","25","Note that 10 may not be the best value for inSampleSize though, the documentation suggests using powers of 2."
"823966","2982277","0","Right. I've edited the answer."
"3035869","3105551","3","Hi Praveen. The drawable I want to set as the wallpaper is not in R.drawable. It is a drawable I downloaded from the web and keep it in an arrayList of type Drawable along with other drawables."
"3035869","3105616","1","i think you have the url values. then my edited answer should help."
"3035869","3105724","0","where does str_url come from? I couldn't find any Drawable function related to strings... thanks for your help."
"3035869","3105841","5","I think I found something: if ""draw"" is the drawable I want to convert to a bitmap then:  

Bitmap bitmap = ((BitmapDrawable)draw).getBitmap();

does the trick!"
"1109108","3186227","4","Thanks this seems to work great if using 0 as the second parameter. But if I use InputMethodManager.HIDE_IMPLICIT_ONLY the keyboard is never hidden (although i'm not holding down menu). Any hints?"
"3145655","3239416","2","Hi Fedor, thanks for that, it looks strikingly similar to what I ended up doing for previous projects.  And that's more or less what prompted this question: surely there must be a simpler way?!"
"3145655","3242514","0","I'm not aware of any simpler way. You can make modifications to my method. For example you may listen to only one provider instead of two. But anyway you need listener, timeout timer."
"3166551","3257139","2","The size in pixels of the display is not the density."
"823966","3303715","49","I'm facing the same problem as Chrispix, but I don't think the solution here really solves the problem, but rather sidesteps it.  Changing the sample size reduces the amount of memory used (at the cost of image quality, which is probably okay for an image preview), but it will not prevent the exception if a large enough image stream is decoded, of if multiple image streams are decoded.

If I find a better solution (and there may not be one) I'll post an answer here."
"456941","3407271","1","It's pretty typical of Android IME to have two classes that both claim to give you a result that is set to the default Locale but one doesn't. So yes, don't forget to use the android.text.format version of DateFormat (that doesn't even derive the java.util one LOL)."
"3145655","3507071","0","One interesting problem I've discovered with this approach is that the TimerTask keeps the activity resident in memory for the duration of the timeout even after the activity has been destroyed.  This was a problem for me when users switched back and forth between landscape and portrait modes, resulting in an eventual OutOfMemory exception if they created enough activities within the 20 second timeout."
"3145655","3524026","0","That's right. ""android:configChanges"" should be specified to avoid activity restart on orientation change. And if you still need to restart activity you should cancel TimerTask or even the complete Timer."
"823966","3580011","2","You only need an appropriate size to match the screen in pixel density, for zooming in and such you can take a sample of the image at a higher density."
"2591311","3631598","166","Be certain to put it *before* the call to setContentView(R.id.x), otherwise it will crash.  The reason wasn't immediately obvious to me.


08-13 12:47:33.561 E/AndroidRuntime( 9125): java.lang.RuntimeException: Unable to start activity ComponentInfo{com.myapp/com.myapp.SplashActivity}: android.util.AndroidRuntimeException: requestFeature() must be called before adding content"
"3495908","3652403","40","You've just recreated a very expensive LinearLayout :)"
"3495908","3755412","50","Except a `LinearLayout` doesn't have all the inherent niceties of a `ListView` -- it doesn't have dividers, header/footer views, a list selector which matches the phone's UI theme colors, etc.  Honestly, there's no reason why you can't scroll the inner container until it's reached the end and then have it stop intercepting touch events so that the outer container scrolls.  Every desktop browser does this when you're using your scroll wheel.  Android itself can handle nested scrolling if you're navigating via the trackball, so why not via touch?"
"3624311","3807438","7","+1, but use getPreferences(MODE_PRIVATE); instead of getPreferences(0); for readability."
"3624311","3807448","0","What is mSaved here? I need to save 2 string values."
"3292810","3834140","1","This should be picked as the answer. Thank you George!"
"3916700","4186980","3","Thanks for your reply, u r right, it works. but I have different issue. I am not loading an image, loading the webpage in the webview, So how to find out the webpage width (PIC_WIDTH)."
"3916700","4189348","0","Ah, I missed that constant in there.  Sorry about that.  I am not sure how you can get the width of the actual webpage."
"559781","4194171","0","Thanks for sharing the code!"
"823966","4469340","11","instead of scale++ you should use scale *= 2;"
"2091482","4553158","0","like the simple approach"
"3145655","4565221","3","For the record, my understanding is that google generally recommends against using android:configChanges.  Instead I've gone with a solution that registers the timertasks and cancels them onDestroy."
"151940","4669772","4","I have an ArrayList of points how to save all points in this array list and then restore them?"
"2636538","4856210","0","It doesn't work when I use Astro file manager. Any ideas why?"
"2636538","4885883","4","@rohith - look at my answer"
"456941","4973591","0","am having problem with what i should import - i mean lib files :("
"559781","5215402","79","I think you should use SoftReferences so that your program will never cause OutOfMemoryException. As GC can clear softreferences when heap size is increasing... you can manage your own generation like after some seconds you can put your images to that list and before loading you should check that if image exists then don't  download it again rather collect it from that list and also putting it back to your softref list and after sometime you can purge your hardlist :)"
"559781","5215415","23","Google Shelves project is an excellent example look how they did http://code.google.com/p/shelves/"
"2418314","5315150","2","How would I do it using the AlertDialog.Builder? ...final AlertDialog.Builder alert = new AlertDialog.Builder(Main.this);"
"1109108","5614955","5","Cool. Just to clarify, this only dismisses it if present, but won't *prevent* it from popping up, right?"
"5106399","5724574","1","If I do this, the soft-keyboard is shown when the activity appears (it's good) but when my focus leave the EditText and go to a Button for example, the keyboard stays (that's bad)."
"5106399","5725406","0","ill edit the answer"
"5106399","5726140","0","So, I need to check my EditText focus, there is no automatic way to do that. I think it's just because the android philosophy about the keyboard is different than the Apple one on the iPhone."
"5106399","5726609","0","so, does this help your problem?"
"2318356","5900260","0","Is this code going to handle the case where the phone doesn't have an accelerometer? I don't have a device without one and the emulator doesn't work so I was hoping somebody might be in the know about this subject."
"5185587","5905672","1","This will work, but only for `TextView`. It will require custom subclasses for every widget class that inherits from `TextView` where the same capability is desired."
"3292810","6085670","0","Really simple and useful."
"151940","6136623","0","@Shaun: It does, Fragments have an onSaveInstanceState handler as well."
"151940","6142638","0","But it doesnt have an onRestoreInstanceState, which really makes the onSaveInstanceState useless in this example"
"559781","6213963","11","Don't you miss a return when drawableMap contains the image ... without starting the fetching-thread?"
"823966","6222384","4","Terrific.Its working very good.Thanks Fedor"
"5535672","6316309","3","This is actually the best solution I've seen yet, very well done. It's not completely suited to my needs because of the way Android likes to break words when wrapping, so I'll be sticking with my custom solution- but your class is much better for general use."
"823966","6337635","1","Can anyone explain what the REQUIRED_SIZE corresponds to? Is that pixels of one side, dips? Thanks!"
"823966","6342422","1","REQUIRED_SIZE is the new size you want to scale to."
"151940","6449064","291","CAREFUL: you need to call  super.onSaveInstanceState(savedInstanceState) before adding your values to the Bundle, or they will get wiped out on that call (Droid X Android 2.2)."
"1109108","6496911","0","@Roflcoptr - hideImplicitOnly is only when the keyboard automatically opens when an editText gets focus. In your situation, you may be pressing on the editText, indicating that you want to type in it, which is an explicit action."
"5763338","6600265","1","This only hides the bars I guess.. but not the effect of the scrollview"
"5763338","6600535","0","it won't allow you to scroll also it will not hide gallery view"
"5763815","6601804","0","Here is how the class looks: http://pastebin.com/dsWSWR4x  But I get the error 'The method onTouch(View, MotionEvent) of type LockableScrollView must override or implement a supertype method'"
"5763815","6603001","0","Apologies, corrected the errors in my code - it should have been `onTouchEvent(MotionEvent ev)`"
"5763815","6609280","0","Ok now the code complies, though when I run the app it crashes... and when i remove this class and return the <ScrollView instead of your class the app works fine!"
"5763815","6609509","0","Hi Omar could you post the error you get? Make sure change the com.mypackagename in <com.mypackagename.LockableScrollView> to your own one"
"5763815","6611374","0","At the end I was able to get it to work, though I run into other issues so I used a dirty fix by having 2 Galleries, one within the scrollview and the other out, and i will just hide/unhide them.. thanks for your time though"
"3427058","6707298","0","your method very well ,but i found that i choice one item ,not only the text of the item,but also the  choice icon  are show at the spinner"
"5626213","6767996","1","What permissions are required for an app to use this?"
"4737265","6925960","39","This wasn't working for me until I realized that you must set the following attribute on your activity: android:windowSoftInputMode=""adjustResize"""
"5185587","6960418","0","I need more help regarding this solution, Could anybody please provide.???"
"6070857","7030395","3","Should this line: `return super.onKeyDown(keyCode, event);` be in onKeyDown or am I imagining? :P"
"6070857","7030502","0","Typo, thanks for catching"
"6070857","7030583","0","We both are working for same community.
You're welcome jen.
:)"
"6070857","7030947","0","you also +1...."
